timeline,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs
29,10,1972,1,1,100,1,21,7,24,0,3,5,27,0,3,0,0,6,10,95,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3446,26.9000,0,21
29,12,1972,1,1,100,1,21,1,2,0,0,0,4,0,1,0,0,2,1,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1377,9.4000,0,3
29,23,1972,1,1,100,1,21,2,6,0,1,1,8,0,1,0,0,4,1,23,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2017,17.3000,0,6
29,28,1972,2,1,100,1,21,0,3,0,1,1,3,0,0,0,0,0,1,15,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0.2193,17.2000,0,2
29,33,1972,2,1,100,1,21,2,8,0,2,2,10,0,2,0,0,2,2,38,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.1581,20.7000,0,7
29,38,1972,2,1,100,1,21,7,25,0,5,4,27,0,2,0,0,11,4,98,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.3734,35.7000,0,21
29,48,1972,2,1,100,1,21,4,15,0,2,2,21,0,6,1,0,5,5,80,0,1,0,0,1,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.1127,75.4000,0,12
30,10,1972,1,1,100,1,21,5,17,0,0,2,24,0,7,3,1,6,7,89,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0935,29.4000,0,15
30,12,1972,1,1,100,1,21,1,3,0,0,1,3,0,0,0,0,1,1,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0307,1.4000,0,3
30,23,1972,1,1,100,1,21,2,6,0,0,1,6,0,0,0,0,1,4,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0287,1.3000,0,6
30,33,1972,2,1,100,1,21,2,7,0,2,0,9,0,1,0,0,4,1,39,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2,2,0.2163,24.6000,0,6
30,38,1972,2,1,100,1,21,7,28,0,8,4,28,3,0,2,0,8,8,89,0,1,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2095,23.9000,0,21
31,3,1972,1,1,100,1,21,2,7,0,1,0,7,0,0,0,0,3,3,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2447,13.1000,0,6
31,4,1972,1,1,100,1,21,3,13,0,2,3,13,0,0,0,0,3,5,38,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.5486,32.7000,0,11
31,10,1972,1,1,100,1,21,6,19,0,4,4,22,3,1,3,3,9,4,79,0,1,1,0,0,0,3,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.0415,15.0000,0,18
31,12,1972,1,1,100,1,21,1,3,0,0,1,3,0,0,0,0,2,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0864,3.5000,0,3
31,22,1972,1,1,100,1,21,1,3,0,0,1,3,0,0,0,0,1,1,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.1996,8.3000,0,3
31,23,1972,1,1,100,1,21,1,4,0,1,0,6,0,0,0,0,3,0,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.1400,15.9000,0,4
31,28,1972,2,1,100,1,21,2,8,0,3,0,9,0,1,0,0,1,4,27,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.2754,22.9000,0,6
31,33,1972,2,1,100,1,21,1,6,0,1,3,6,0,0,0,0,1,1,24,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.1942,10.2000,0,5
31,38,1972,2,1,100,1,21,6,26,0,9,3,29,3,2,3,3,10,5,95,1,1,1,0,0,0,6,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.0823,32.4000,0,19
31,48,1972,2,1,100,1,21,5,17,0,3,4,20,0,2,1,1,5,6,77,0,1,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.2504,46.1000,0,15
32,3,1972,1,1,100,1,21,1,4,0,1,0,4,0,0,0,0,0,3,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1070,6.1000,0,3
32,10,1972,1,1,100,1,21,6,22,0,4,2,24,2,2,2,2,8,8,90,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1022,21.4000,0,18
32,12,1972,1,1,100,1,21,1,3,0,0,0,4,0,1,0,0,1,2,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0864,5.0000,0,3
32,23,1972,1,1,100,1,21,0,5,0,3,0,5,0,0,1,1,1,1,12,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.3623,16.9000,0,2
